,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
2504,Basketball Arena - Sports Game,1v1 Online Basketball Matches,MASOMO LIMITED,#36 in Sports,4+,4.8,$2.99,86.5K Ratings,Offers In-App Purchases,243.2 MB,,,,,,
2505,Super Stickman Golf 2,,Noodlecake Studios Inc,#27 in Sports,4+,4.6,$0.99,5.4K Ratings,,97.6 MB,,,,,,
2506,Ridiculous Rugby,Physics based ragdoll rugby‪!‬,Blaine Hodge,#52 in Sports,9+,4.8,Free,111 Ratings,Offers In-App Purchases,75.7 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
2507,Pocket GM 21: Football Manager,American Football Franchise,Jonathan Howell,#12 in Sports,4+,4.9,Free,2K Ratings,Offers In-App Purchases,35.2 MB,,,,,,
2508,Soccer Super Star,Play top soccer games,SIMFACE LIMITED,#1 in Sports,4+,4.6,Free,44.7K Ratings,Offers In-App Purchases,296.5 MB,,,,,,
2509,Outlaws - Sprint Car Racing 3,Keep the engines running dirt,Serdar Akgul,#46 in Racing,4+,2.8,Free,13 Ratings,Offers In-App Purchases,1.1 GB,,,,,,
2510,8 Ball Strike: Win Real Cash,Skillbased Billiards of money,Aviagames Inc.,#66 in Sports,17+,4.9,Free,2.2K Ratings,Offers In-App Purchases,244.4 MB,Frequent/Intense Contests,Gambling,,,,
2511,Athletics: Summer Sports Full,,Olivier Monaret,#65 in Racing,4+,4.7,Free,20 Ratings,Offers In-App Purchases,81.6 MB,,,,,,
2512,American Football Champs,,Refined Games Inc,#78 in Sports,4+,4.6,Free,54.5K Ratings,Offers In-App Purchases,166 MB,,,,,,
2513,Flappy Dunk,Tap and bounce to a high score,Voodoo,#13 in Sports,12+,4.6,Free,344.5K Ratings,,172.3 MB,Infrequent/Mild Cartoon or Fantasy Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Simulated Gambling,Infrequent/Mild Mature/Suggestive Themes
